date,peak_MW
2023-07-04,43028.1
2023-07-05,43721.2
2023-07-06,43750.4
2023-07-07,45305.3
2023-07-08,40794.8
2023-07-09,34511.5
2023-07-10,43343.6
2023-07-11,44953.3
2023-07-12,45473.5
2023-07-13,44649.2
2023-07-14,43907.7
2023-07-15,39904.9
2023-07-16,34972.7
2023-07-17,41499.4
2023-07-18,38419.4
2023-07-19,38365.3
2023-07-20,37274.2
2023-07-21,38145.6
2023-07-22,37088.8
2023-07-23,33772.0
2023-07-24,41209.9
2023-07-25,42763.5
2023-07-26,43219.8
2023-07-27,43142.7
2023-07-28,41392.4
2023-07-29,39540.5
2023-07-30,33842.4
2023-07-31,39520.9
2023-08-01,39498.2
2023-08-02,38859.9
2023-08-03,38830.5
2023-08-04,38368.0
2023-08-05,36695.2
2023-08-06,33395.2
2023-08-07,40441.1
2023-08-08,41365.0
2023-08-10,43595.7
2023-08-10,42257.9
2023-08-11,41026.1
2023-08-12,39811.1
2023-08-13,34128.8
2023-08-14,42935.7
2023-08-15,41856.1
2023-08-16,42714.5
2023-08-17,44006.7
2023-08-18,42991.8
2023-08-19,38961.7
2023-08-20,32538.1
2023-08-21,40667.3
2023-08-22,42292.0
2023-08-23,43573.3
2023-08-24,42389.7
2023-08-25,42423.5
2023-08-26,40274.3
2023-08-27,35636.3
2023-08-28,41631.7
2023-08-29,40465.0
2023-08-30,38695.8
2023-08-31,36577.9
2023-09-01,29981.3
2023-09-02,28594.3
2023-09-03,29244.0
2023-09-04,34200.8
2023-09-05,39006.2
2023-09-06,40342.2
2023-09-07,41590.7
2023-09-08,41117.1
2023-09-09,38335.2
2023-09-10,34188.7
2023-09-11,39570.3
2023-09-12,38657.0
2023-09-13,37953.0
2023-09-14,37809.0
2023-09-15,38172.2
2023-09-16,35977.1
2023-09-17,34410.1
2023-09-18,39550.0
2023-09-19,41033.4
2023-09-20,41649.4
2023-09-21,41880.5
2023-09-22,42053.9
2023-09-23,39638.6
2023-09-24,34719.7
2023-09-25,39816.9
2023-09-26,38496.3
2023-09-27,38847.1
2023-09-28,38913.2
2023-09-29,38566.8
2023-09-30,36172.5
2023-10-01,34121.5
2023-10-02,38230.5
2023-10-03,39083.9
2023-10-04,40235.7
2023-10-05,41182.9
2023-10-07,37695.5
2023-10-09,39924.9
2023-10-11,40094.7
2023-10-12,39869.0
2023-10-13,39905.4
2023-10-14,37002.1
2023-10-15,35196.7
2023-10-16,39824.0
2023-10-17,40333.6
2023-10-18,40241.3
2023-10-19,40782.4
2023-10-20,39401.3
2023-10-21,37100.4
2023-10-22,35181.2
2023-10-23,39701.9
2023-10-24,40511.2
2023-10-25,40171.2
2023-10-26,40677.0
2023-10-27,40793.1
2023-10-28,37613.5
2023-10-29,34749.0
2023-10-30,39925.9
2023-10-31,39352.3
2023-11-01,40121.0
2023-11-02,39928.5
2023-11-03,40016.4
2023-11-04,38257.4
2023-11-05,36135.2
2023-11-06,40430.8
2023-11-07,40116.2
2023-11-08,41227.0
2023-11-09,41271.3
2023-11-10,40952.3
2023-11-11,38415.5
2023-11-12,36035.4
2023-11-13,39926.0
2023-11-14,40676.5
2023-11-15,40334.4
2023-11-16,40182.8
2023-11-17,39348.7
2023-11-18,37422.6
2023-11-19,35044.8
2023-11-20,40338.9
2023-11-21,40671.0
2023-11-22,40918.0
2023-11-23,40264.0
2023-11-24,39996.1
2023-11-25,38165.4
2023-11-26,35516.4
2023-11-27,40501.3
2023-11-28,40509.0
2023-11-29,40825.0
2023-11-30,40910.7
2023-12-01,39641.0
2023-12-02,37235.6
2023-12-03,35452.2
2023-12-04,42361.9
2023-12-05,41523.8
2023-12-06,41314.7
2023-12-08,41092.0
2023-12-09,38913.4
2023-12-10,36496.3
2023-12-11,41948.9
2023-12-12,42453.5
2023-12-13,41850.1
2023-12-14,42526.7
2023-12-15,42233.2
2023-12-16,38483.8
2023-12-17,36882.8
2023-12-18,42085.4
2023-12-19,42427.3
2023-12-20,42413.0
2023-12-21,42158.5
2023-12-22,41226.6
2023-12-23,38885.8
2023-12-24,36699.2
2023-12-25,41579.3
2023-12-26,41927.5
2023-12-27,41641.0
2023-12-28,41130.2
2023-12-29,40821.3
2023-12-30,37405.1
2023-12-31,33928.4
2024-01-01,31763.8
2024-01-02,41463.2
